Pais,Desarrollo Humano y Calidad de Vida,Comercio Exterior y Consumo Doméstico,"Inversión, Participación y Crecimiento",Consumo Doméstico y Mercado Laboral,Política Fiscal y Estabilidad Económica,Desempeño Económico y Política Pública,Inflación y Finanzas Públicas
Gambia,-1.95094424820334,1.5911361510895512,0.2652993821158768,0.1945402191691427,0.9353335448350856,1.5526032608022589,1.1223437150605298
Guinea-Bissau,-2.0737675177790225,0.33310651659811064,-2.002718016318422,-0.6569907805012254,0.5418991111840942,0.2506730516844981,-0.9406810735080844
Kenya,-1.174165348786479,-0.791158225110435,-0.4946147892253055,1.3015188585655997,-0.16345748223824022,0.1900608466674635,-1.0698057341094305
Liberia,-1.9297223493905984,3.400432443910174,-1.6380909182980732,-0.1680494131520456,-0.6219287595112335,1.0961793899839813,1.4880478358811313
Lesotho,-0.3214617285146547,3.07942251384265,-1.2682345269638449,-1.1445953734990661,-0.37811780884446783,-2.777997168512154,0.8171686945790007
Morocco,3.414448689183821,-0.5332754622740684,0.07454531417606106,-0.34801969279859374,-0.449831271511057,0.5529605588576408,-0.29434173267753455
Madagascar,-1.7870156387137341,-0.4777408183745312,-0.03500706468599305,1.3980134093349446,1.5606677605611794,-0.309632345524964,-0.014420495246558059
Mali,-2.6362372983508617,0.7915949372490149,-0.29518258470103265,-0.2744749044588348,1.1074329083618506,0.08657005430064975,0.058609609960950416
Mozambique,-0.6457569730666781,2.6292475537343467,3.610892268408057,0.7665539765788285,-0.2145359863013927,-1.6795164352423297,0.8459035576809882
Mauritania,0.861088336306164,1.374591679480306,1.5947411079435103,-2.1967656496692585,0.8941685978205758,0.8514835341005934,1.4408005522840326
Mauritius,4.472805963288317,0.6629602149380892,-1.534500581812662,3.022705387751238,0.08989297077277636,0.9361451999370464,-0.26172348177004423
Malawi,-1.7239515466548931,0.6136376992151348,-0.026204333902462813,1.8058405998719176,0.029317800965494054,0.4046129336860277,0.2347536710344756
Namibia,1.4638861406844468,0.6441881646638745,-0.4114487043692703,-0.01605277648131782,-0.6661083733180837,-1.771937663685153,-0.4625611565090134
Niger,-2.693588121909151,-0.09931141435613455,2.061803659799211,-0.17783967439242462,1.2787278714353605,0.08407236962132177,0.4603248198590472
Nigeria,-3.3528739111880284,-3.6098422458849044,-3.7955913793443825,-0.3884852288056927,-0.9909174096226607,0.8856305774184022,0.9716401275392023
Rwanda,-0.7968675530355201,0.04432544846570597,2.17924540628184,0.9727956450448308,-0.3944336346975805,0.1266308240639568,-1.3631662914812102
Sudan,-1.2303758912881528,-3.6640640563469447,0.7418949154864093,-0.5147174345840753,-2.508729567941792,0.6696482296871749,3.198841500244731
Senegal,-0.3227624169832684,-0.5282774346552476,2.0931794670285004,-0.7436583244230249,4.3826530528075644e-05,0.7655171761815237,-0.9137243972131794
Sierra Leone,-2.525168424632634,2.3265888914064368,-0.09483219007098129,0.20559387240349417,-1.2755780127882392,1.2948514203882706,0.47067310464721607
eSwatini,1.8190264222535444,0.8382250581419751,-2.360165991173539,-1.3556860273409335,-1.1713104794744549,-1.507455771865992,-0.795007782669118
Seychelles,7.034597858213656,2.770627638592375,-0.2198320776496376,1.5761600190968672,2.2810098579393743,-0.10269817795739249,2.0598861430107984
Chad,-4.082895817232969,0.14291002505761777,-2.369884162049004,-1.0901243951165214,1.4097279889569458,-0.05057940623093608,0.18820019509922975
Togo,-0.9195257987856991,0.8845944289018542,-0.6867813555550178,0.8773299425955207,1.7490702202816404,-0.692732899648239,-0.3892245235785268
Tunisia,4.0101559078076185,0.7511236543247106,-0.6838301136462199,1.394686923391459,-0.8573002879041597,0.3832799971482295,-0.03343094033579294
Tanzania,-1.2598637788991898,-2.417391078937787,1.8808322887831526,1.089469222711779,1.3816319253293978,-0.4408810297440683,-0.6212758891176858
Uganda,-1.1239603704825318,-1.6009161156481204,0.9865775783619788,1.3647031154720772,0.8840738500394809,-0.5309310504585231,-0.8036060250737154
South Africa,2.828717037625834,-1.3387514660893125,-0.4517777531657091,0.8382376802877922,-1.269607900142986,-1.7666544781046836,-0.5640144986107508
Zambia,1.1255312195945781,-1.6075000048938637,1.6504149488711648,-2.128134851182662,0.2736591933950189,-0.27765656646755743,0.16487870582439437
Zimbabwe,-1.275127626612095,0.7240754381298828,-0.13572504056739065,1.1878811612226685,-1.5166643409829732,-1.6485053908735845,-1.9928486916183472
