Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019,Population 2019,Gini Index 2019,Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Inequality-adjusted Human Development Index (value),Life Expectancy at Birth (years),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)",Expected Years of Schooling (years)
MRT,Mauritania,-0.1126932667,-17.289238353,43.7546699222,62.1208330613,3.8904584354,41.5563975759,76.8097655633,21.9269181289,54.8828474344,5.4016642192,4383849.0,32.0,5432.672,0.552,0.355,65.687,29.78,64.06,431.101,20.261,8.722
MUS,Mauritius,-3.3829652041,-8.1845591536,42.4006073184,55.5762500089,4.5400023622,16.1738918661,97.0017508244,14.9598781705,82.0418726539,4.0035509394,1265985.0,,24213.22,0.806,0.633,75.118,45.94,72.92,49.055,20.0,14.911
MWI,Malawi,-3.4471525286,-10.8807759455,15.8731898528,45.888045067,7.729278061,24.4057216701,105.6091335441,10.315432388,95.2937011561,4.6352513345,18867337.0,38.5,1482.104,0.514,0.351,64.119,63.32,73.44,370.244,22.917,11.422
NAM,Namibia,-4.5867255153,-2.3083978159,39.4110881206,47.5959030604,5.1849479783,19.1729992333,89.0118157065,23.3227267023,65.6890890042,2.7625970194,2446644.0,,9758.482,0.638,0.416,63.075,54.98,62.19,222.956,36.957,11.735
NER,Niger,-4.496547332,-16.7013757284,15.0049200056,31.7625188661,2.7016834459,32.8855033159,83.8720955446,14.0300446786,69.8420508661,5.2891494585,23443393.0,,1271.733,0.39,0.257,62.897,61.57,86.46,409.648,16.959,6.888
NGA,Nigeria,-4.1850883075,3.3263895602,14.0314760731,11.7177954291,12.2152689324,14.8235313026,82.8627880535,4.2297627842,78.6330252693,2.3401126945,203304492.0,,4914.228,0.537,0.354,52.91,52.14,65.72,1122.113,4.113,10.13
NORTH,North Africa,-4.8097357052,-4.9915014924,28.8589453516,38.9330599168,9.1812612848,31.3882283202,78.6858862449,18.0330027254,60.6528835195,4.4329098735,,,,,,,,,,,
RWA,Rwanda,-4.3752343879,-9.1534960837,18.6043900592,35.5534607747,4.1352566007,25.7572798892,91.1917908263,14.8095588343,76.382231992,7.7661797275,12835028.0,,2117.985,0.531,0.364,66.437,51.94,65.79,281.311,55.66,10.854
SDN,Sudan,-1.6360321561,-2.2443674297,4.8031767375,6.6601690585,34.9880533308,30.6084115102,71.2485808108,7.6593839613,63.5891968495,3.5612111987,43232093.0,,3939.34,0.521,0.331,65.876,26.96,67.27,297.986,31.042,8.385
SEN,Senegal,-3.2971800748,-5.4254426996,22.3076705361,33.641898045,1.741463605,32.1926547639,79.141572745,13.6356978922,65.5058748527,6.6921215793,16000781.0,,3342.12,0.514,0.328,68.526,37.48,64.53,257.611,41.818,8.913
